,0,1
18802,im not laughing,ich lache nicht
18803,im not like tom,ich bin nicht so wie tom
18804,im not like you,ich bin nicht wie du
18805,im not like you,ich bin nicht wie du
18806,im not like you,ich bin nicht so wie du
18807,im not like you,ich bin nicht so wie ihr
18808,im not offended,ich bin nicht beleidigt
18809,im not outgoing,ich bin nicht kontaktfreudig
18810,im not sleeping,ich schlafe nicht
18811,im not so brave,ich bin nicht so mutig
18812,im not so lucky,ich habe nicht so viel glück
18813,im not so tired,ich bin nicht so müde
18814,im not stopping,ich höre nicht auf
18815,im not suicidal,ich bin nicht selbstmordgefährdet
18816,im not sure why,ich bin mir nicht sicher warum
18817,im not sure why,ich bin nicht sicher warum
18818,im not sure yet,ich bin mir noch nicht sicher
18819,im not that old,ich bin nicht so alt
18820,im not the boss,ich bin nicht der chef
18821,im not the boss,ich bin nicht die chefin
18822,im not to blame,ich kann nichts dafür
18823,im not to blame,mich trifft keine schuld
18824,im not to blame,dafür kann ich nichts
18825,im not too busy,ich habe nicht so viel zu tun
18826,im not very old,ich bin nicht sehr alt
18827,im not watching,ich schaue nicht
18828,im not your son,ich bin nicht dein sohn
18829,im not your son,ich bin nicht ihr sohn
18830,im off duty now,ich bin jetzt nicht mehr im dienst
18831,im off tomorrow,ich habe morgen frei
18832,im on the phone,ich bin am telefon
18833,im on the train,ich sitze jetzt im zug
18834,im out of money,ich habe kein geld mehr
18835,im overreacting,ich überdrehe
18836,im pretty angry,ich bin ganz schön sauer
18837,im pretty blind,ich bin ziemlich blind
18838,im pretty drunk,ich bin ganz schön betrunken
18839,im pretty tired,ich bin ziemlich müde
18840,im pretty tough,ich bin recht zäh
18841,im proud of tom,ich bin stolz auf tom
18842,im proud of you,ich bin stolz auf dich
18843,im proud of you,ich bin stolz auf sie
18844,im quite hungry,ich bin ziemlich hungrig
18845,im quite strong,ich bin ziemlich stark
18846,im real careful,ich bin wirklich vorsichtig
18847,im really angry,ich bin wirklich sauer
18848,im really broke,ich bin total pleite
18849,im really broke,ich bin komplett bankrott
18850,im really drunk,ich bin total betrunken
18851,im really sorry,es tut mir wirklich leid
18852,im really tired,ich bin sehr müde
18853,im really upset,ich bin wirklich bestürzt
18854,im retired too,ich bin auch im ruhestand
18855,im retired too,ich bin auch in rente
18856,im retired too,ich bin auch pensioniert
18857,im righthanded,ich bin rechtshänderin
18858,im sick of fish,ich kann keinen fisch mehr sehen
18859,im sick of this,ich habe die nase voll davon
18860,im so depressed,ich bin so niedergeschlagen
18861,im staying here,ich bleibe hier
18862,im still hungry,ich habe immer noch hunger
18863,im still in bed,ich bin noch im bett
18864,im still single,ich bin immer noch allein
18865,im still sleepy,ich bin noch müde
18866,im stressed out,ich bin gestresst
18867,im stronger now,ich bin jetzt stärker
18868,im such a klutz,ich bin so ein tollpatsch
18869,im such a klutz,ich bin vielleicht ein tollpatsch
18870,im the boss now,ich bin jetzt der chef
18871,im the boss now,ich bin jetzt die chefin
18872,im the youngest,ich bin der jüngste
18873,im the youngest,ich bin die jüngste
18874,im unprejudiced,ich bin vorurteilsfrei
18875,im used to that,das bin ich gewohnt
18876,im very curious,ich bin sehr neugierig
18877,im very excited,ich bin sehr aufgeregt
18878,im very healthy,ich bin bei sehr guter gesundheit
18879,im very nervous,ich bin sehr nervös
18880,im very patient,ich bin sehr geduldig
18881,im very pleased,ich bin hochzufrieden
18882,im very popular,ich bin sehr beliebt
18883,im very relaxed,ich bin sehr entspannt
18884,im very sad now,jetzt bin ich sehr traurig
18885,im very serious,ich meine das sehr ernst
18886,im very shocked,ich bin sehr bestürzt
18887,im very thirsty,ich bin sehr durstig
18888,im very thirsty,ich habe einen riesendurst
18889,im very unhappy,ich bin sehr unglücklich
18890,im very unlucky,ich bin sehr unglücklich
18891,im very wealthy,ich bin sehr wohlhabend
18892,im walking home,ich gehe zu fuß nach hause
18893,im watching tom,ich beobachte tom
18894,im watching you,ich beobachte dich
18895,im with tom now,ich bin jetzt bei tom
18896,im with the fbi,ich bin beim fbi
18897,im working hard,ich arbeite fleißig
18898,im working here,ich arbeite hier
18899,im working here,hier arbeite ich
18900,im worried too,ich mache mir auch sorgen
18901,im your brother,ich bin dein bruder
18902,im your partner,ich bin dein partner
18903,im your partner,ich bin ihr partner
18904,im your servant,ich bin dein diener
18905,ive become thin,ich bin schlank geworden
18906,ive been better,es ging mir schon besser
18907,ive found a job,ich habe arbeit gefunden
18908,ive got a hunch,ich habe da so eine ahnung
18909,ive got a knife,ich habe ein messer
18910,ive got an idea,ich habe eine idee
18911,ive got no idea,ich habe keine ahnung
18912,ive got nothing,ich habe nichts
18913,ive got secrets,ich habe geheimnisse
18914,ive got to know,ich muss es wissen
18915,ive got to stay,ich muss bleiben
18916,ive heard worse,ich habe schon schlimmeres gehört
18917,ive lied to tom,ich habe tom angelogen
18918,ive located tom,ich habe tom gefunden
18919,ive located tom,ich habe tom ausfindig gemacht
18920,ive lost my bag,ich habe meine tasche verloren
18921,ive never tried,ich habe es nie versucht
18922,ive seen enough,ich habe genug gesehen
18923,ive seen things,ich habe dinge gesehen
18924,is tom a suspect,ist tom ein tatverdächtiger
18925,is tom a teacher,ist tom lehrer
18926,is tom all right,geht es tom gut
18927,is tom alone now,ist tom gerade allein
18928,is tom an artist,ist tom künstler
18929,is tom at school,ist tom in der schule
18930,is tom available,ist tom verfügbar
18931,is tom awake yet,ist tom schon wach
18932,is tom breathing,atmet tom
18933,is tom confident,ist tom selbstsicher
18934,is tom conscious,ist tom bei bewusstsein
18935,is tom dangerous,ist tom gefährlich
18936,is tom delirious,ist tom verrückt
18937,is tom here too,ist tom auch hier
18938,is tom in boston,ist tom in boston
18939,is tom intrigued,ist tom fasziniert
18940,is tom mad at us,ist tom sauer auf uns
18941,is tom out there,ist tom da draußen
18942,is tom reachable,ist tom erreichbar
18943,is tom really ok,ist tom wirklich in ordnung
18944,is tom satisfied,ist tom zufrieden
18945,is tom still mad,ist tom noch immer böse
18946,is tom that good,ist tom so gut
18947,is tom there yet,ist tom schon da
18948,is tom with mary,ist tom bei maria
18949,is tom your name,ist tom dein name
18950,is anybody there,ist jemand da
18951,is he still here,ist er immer noch hier
18952,is it contagious,ist es ansteckend
18953,is it really bad,ist es sehr schlimm
18954,is it really you,bist du es wirklich
18955,is it really you,sind sie es wirklich
18956,is it warm there,ist es da warm
18957,is she all right,geht es ihr gut
18958,is someone there,ist da jemand
18959,is that a coyote,ist das ein kojote
18960,is that a pencil,ist das ein bleistift
18961,is that a riddle,ist das ein rätsel
18962,is that a spider,ist das eine spinne
18963,is that a threat,ist das eine drohung
18964,is that an apple,ist das ein apfel
18965,is that an order,ist das ein befehl
18966,is that for sale,ist das zu verkaufen
18967,is that for sale,ist der zu verkaufen
18968,is that for sale,ist die zu verkaufen
18969,is that from tom,ist das von tom
18970,is that possible,ist das möglich
18971,is that possible,kann das sein
18972,is that so weird,ist das so seltsam
18973,is that suitable,eignet sich das
18974,is that the plan,ist das der plan
18975,is that too hard,ist das zu schwierig
18976,is that too hard,ist das so kompliziert
18977,is that too late,ist das zu spät
18978,is that you tom,bist du das tom
18979,is that your car,ist das dein auto
18980,is that your cat,ist das ihre katze
18981,is that your cat,ist das deine katze
18982,is that your cat,ist das eure katze
18983,is that your dog,ist das dein hund
18984,is that your mom,ist das deine mutter
18985,is that your pen,ist das dein kugelschreiber
18986,is that your son,ist das dein sohn
18987,is that your son,ist das ihr sohn
18988,is that your son,ist das euer sohn
18989,is the tv broken,ist der fernseher kaputt
18990,is the apple red,ist der apfel rot
18991,is the bank open,ist die bank geöffnet
18992,is the door open,ist die tür auf
18993,is the lake deep,ist der see tief
18994,is the well deep,ist der brunnen tief
18995,is this 2231374,ist dort 2231374
18996,is this a flower,ist das eine blume
18997,is this a riddle,ist das ein rätsel
18998,is this about me,geht es um mich
18999,is this for sale,ist das verkäuflich
19000,is this possible,ist das möglich
19001,is this red wine,ist das rotwein
19002,is this suitable,eignet sich das
19003,is this your dvd,ist das deine dvd
19004,is this your bag,ist das ihre tasche
19005,is this your car,ist das dein auto
19006,is this your car,ist das ihr auto
19007,is this your car,ist dieses auto deines
19008,is this your car,ist dieses auto ihres
19009,is this your car,ist dieses auto eures
19010,is this your cat,ist das hier deine katze
19011,is this your cat,ist das hier ihre katze
19012,is this your cat,ist das hier eure katze
19013,is this your dog,ist das hier ihr hund
19014,is this your dog,ist das hier euer hund
19015,is this your dog,ist das hier dein hund
19016,is this your dog,ist das dein hund
19017,is this your pen,ist das dein kugelschreiber
19018,is this your son,ist das dein sohn
19019,is this your son,ist das euer sohn
19020,is this your tea,ist das dein tee
19021,is this your tea,ist das ihr tee
19022,is your car blue,ist dein auto blau
19023,is your dad here,ist dein vater hier
19024,is your dog mean,ist euer hund bissig
19025,is your dog mean,ist ihr hund bissig
19026,is your mom here,ist deine mutter hier
19027,is your mom home,ist deine mutter zu hause
19028,is your name tom,ist dein name tom
19029,is your room big,ihr zimmer ist das groß
19030,isnt tom afraid,hat tom keine angst
19031,isnt tom coming,kommt tom nicht
19032,isnt tom hungry,ist tom nicht hungrig
19033,isnt it obvious,ist das nicht offensichtlich
19034,isnt it perfect,ist das nicht perfekt
19035,isnt it strange,ist das nicht seltsam
19036,isnt that great,ist das nicht großartig
19037,isnt that right,stimmt das nicht
19038,isnt that sweet,ist das nicht süß
19039,isnt that weird,ist das nicht seltsam
19040,isnt this toms,gehört das nicht tom
19041,isnt this toms,ist das nicht toms
19042,isnt this great,ist das nicht toll
19043,it almost worked,es hätte beinahe funktioniert
19044,it almost worked,es hat fast geklappt
19045,it began to rain,es fing an zu regnen
19046,it began to snow,es begann zu schneien
19047,it began to snow,es fing an zu schneien
19048,it belongs to us,es gehört zu uns
19049,it belongs to us,es gehört uns
19050,it cant be done,das ist nicht zu schaffen
19051,it cant be true,das kann nicht wahr sein
19052,it cant be true,es kann nicht wahr sein
19053,it cant be true,das kann nicht stimmen
19054,it costs 2 euros,das kostet zwei euro
19055,it could be true,es könnte wahr sein
19056,it couldnt hurt,es könnte nicht schaden
19057,it couldnt hurt,es konnte nicht schaden
19058,it doesnt exist,das existiert nicht
19059,it happened fast,es ging schnell
19060,it happened here,hier ist es passiert
19061,it interested me,es interessierte mich
19062,it is impossible,es ist unmöglich
19063,it is not my day,heute ist nicht mein tag
19064,it is pitch dark,es ist zappenduster
19065,it is pitch dark,es ist stockfinster
19066,it is pitch dark,es ist stockdunkel
19067,it is time to go,es ist an der zeit zu gehen
19068,it is time to go,wir müssen langsam gehen
19069,it is what it is,es ist was es ist
19070,it is what it is,es ist wie es ist
19071,it isnt a dream,das ist kein traum
19072,it isnt a trick,es ist kein trick
19073,it isnt obvious,das ist nicht offensichtlich
19074,it isnt obvious,es springt nicht ins auge
19075,it isnt working,es funktioniert nicht
19076,it just happened,es geschah einfach
19077,it just happened,es passierte einfach
19078,it just happened,es ist gerade erst passiert
19079,it looks so real,es sieht so echt aus
19080,it made me think,es brachte mich zum nachdenken
19081,it makes me sick,da wird mir schlecht
19082,it makes me sick,das macht mich krank
19083,it matters to me,mir liegt etwas daran
19084,it matters to me,es bedeutet mir etwas
19085,it matters to us,es bedeutet uns etwas
19086,it matters to us,es ist von bedeutung für uns
19087,it may be a trap,es könnte eine falle sein
19088,it may rain soon,vielleicht wird es bald regnen
19089,it needs washing,man muss es waschen
19090,it needs washing,man muss sie waschen
19091,it needs washing,man muss ihn waschen
19092,it never existed,es hat es nie gegeben
19093,it seemed normal,es schien normal
19094,it seems strange,es erscheint seltsam
19095,it should be fun,das ist bestimmt lustig
19096,it sounds simple,das klingt einfach
19097,it still happens,das passiert noch immer
19098,it still happens,das findet noch immer statt
19099,it takes courage,es erfordert mut
19100,it takes courage,das erfordert mut
19101,it took too long,es hat zu lange gedauert
19102,it was a hot day,es war ein warmer tag
19103,it was a mistake,das war ein fehler
19104,it was at school,es war in der schule
19105,it was beautiful,es war wunderschön
19106,it was good news,es war eine gute nachricht
19107,it was hilarious,es war überaus komisch
19108,it was his fault,es war seine schuld
19109,it was his fault,er war schuld
19110,it was important,es war wichtig
19111,it was like that,es war so
19112,it was so simple,es war so einfach
19113,it was stressful,es war stressig
19114,it was the truth,es war die wahrheit
19115,it was too small,es war zu klein
19116,it was too small,er war zu klein
19117,it was too small,sie war zu klein
19118,it was very cold,es war ziemlich kalt
19119,it was very cold,es war sehr kalt
19120,it was very cool,es war sehr kühl
19121,it was very dark,es war sehr dunkel
19122,it was very good,es war sehr gut
19123,it was very hard,es war sehr schwer
19124,it was very hard,es war sehr schwierig
19125,it was very nice,es war sehr nett
19126,it was very ugly,es war sehr hässlich
19127,it was years ago,das ist jahre her
19128,it was your idea,das war deine idee
19129,it was your idea,das war eure idee
19130,it was your idea,das war ihre idee
19131,it wasnt a joke,es war kein witz
19132,it wasnt enough,das war nicht genug
19133,it wasnt pretty,es war nicht hübsch
19134,it wasnt so bad,das war gar nicht übel
19135,it wont be easy,es wird nicht leicht sein
19136,it wont be easy,das wird nicht leicht sein
19137,it wont be long,es dauert nicht mehr lange
19138,it wouldnt hurt,es würde nicht schaden
19139,it wouldnt hurt,das könnte nicht schaden
19140,itll come to me,es wird mir noch einfallen
19141,itll have to do,das muss genügen
19142,itll never work,das funktioniert nie
19143,itll snow today,es wird heute schneien
19144,its toms fault,es ist toms schuld
19145,its toms fight,es ist toms kampf
19146,its toms group,es ist toms gruppe
19147,its toms house,es ist toms haus
19148,its toms phone,es ist toms handy
19149,its toms voice,das ist toms stimme
19150,its a bad habit,es ist eine schlechte angewohnheit
19151,its a big world,es ist eine große welt
19152,its a big world,die welt ist groß
19153,its a done deal,die messe ist gelesen
19154,its a dream job,das ist ein traumjob
19155,its a full moon,wir haben vollmond
19156,its a good book,es ist ein gutes buch
19157,its a good deal,es ist ein gutes geschäft
19158,its a good plan,das ist ein guter plan
19159,its a good rule,das ist eine gute regel
19160,its a great day,es is ein toller tag
19161,its a love song,das ist ein liebeslied
19162,its a mad world,es ist eine verrückte welt
19163,its a rainy day,es ist ein regnerischer tag
19164,its a rainy day,es ist ein verregneter tag
19165,its a small dog,es ist ein kleiner hund
19166,its a small dog,das ist ein kleiner hund
19167,its a sunflower,das ist eine sonnenblume
19168,its a sunny day,es ist ein sonniger tag
19169,its a windy day,es ist ein windiger tag
19170,its all in here,hier ist alles drin
19171,its almost dark,es ist schon fast dunkel
19172,its almost dark,es ist fast dunkel
19173,its almost done,der ist gleich fertig
19174,its almost late,es ist fast zu spät
19175,its almost over,es ist fast vorbei
19176,its almost time,es ist gleich so weit
19177,its always open,es ist immer geöffnet
19178,its always open,es ist immer offen
19179,its an illusion,das ist eine illusion
19180,its an open bar,die getränke sind frei
19181,its an open bar,die getränke sind kostenlos
19182,its bad for you,es ist schlecht für dich
19183,its balmy today,heute ist es mild
19184,its become dark,es ist dunkel geworden
19185,its bitter cold,es ist bitterkalt
19186,its boiling hot,es herrscht eine affenhitze
19187,its clearing up,es klart auf
19188,its comfortable,es ist bequem
19189,its comfortable,das ist bequem
19190,its complicated,es ist kompliziert
19191,its conceivable,es ist denkbar
19192,its copyrighted,das ist urheberrechtlich geschützt
19193,its dark inside,drinnen ist es dunkel
19194,its dinner time,es ist zeit fürs abendessen
19195,its farfetched,das ist weit hergeholt
19196,its foggy today,es ist neblig heute
19197,its frozen hard,es ist hart gefroren
19198,its getting hot,es wird heiß
19199,its going great,es läuft super
19200,its good for us,es ist gut für uns
19201,its gotten dark,es ist dunkel geworden
19202,its hard to say,das ist schwer zu sagen
19203,its hard to say,schwer zu sagen
19204,its hit or miss,es ist reine glückssache
19205,its hot in here,es ist heiß hier drinnen
19206,its in the well,es ist im brunnen
19207,its inadvisable,das ist nicht empfehlenswert
19208,its interesting,es ist interessant
19209,its just a bird,es ist nur ein vogel
19210,its just a cold,es ist bloß eine erkältung
19211,its just a game,es ist nur ein spiel
19212,its just a sham,das sind nur potemkinsche dörfer
19213,its just coffee,es ist bloß kaffee
19214,its just stupid,es ist einfach nur dumm
19215,its laundry day,es ist waschtag
19216,its like a drug,es ist wie eine droge
19217,its like a drug,er ist wie eine droge
19218,its like a drug,sie ist wie eine droge
19219,its magnificent,es ist großartig
19220,its magnificent,es ist wunderbar
19221,its monkey meat,das ist affenfleisch
19222,its my umbrella,es ist mein schirm
19223,its nearly dark,es ist fast dunkel
19224,its not a dream,es ist kein traum
19225,its not a dream,das ist kein traum
19226,its not a trick,es ist kein trick
19227,its not a watch,es ist keine uhr
19228,its not dry yet,noch ist es nicht trocken
19229,its not for you,es ist nicht für dich
19230,its not from me,das ist nicht von mir
19231,its not from me,es ist nicht von mir
19232,its not illegal,das ist nicht gesetzeswidrig
19233,its not logical,das ist nicht logisch
19234,its not my size,das ist nicht meine größe
19235,its not serious,das ist nichts ernstes
19236,its not too hot,es ist nicht zu heiß
19237,its not working,es funktioniert nicht
19238,its not yet dry,noch ist es nicht trocken
19239,its now october,wir haben jetzt oktober
19240,its now my turn,jetzt bin ich dran
19241,its on the sofa,es liegt auf dem sofa
19242,its one of mine,es ist einer von meinen
19243,its only monday,es ist erst montag
19244,its pitch black,es ist zappenduster
19245,its pitch black,es ist stockfinster
19246,its pretty cold,es ist ziemlich kalt
19247,its pretty cool,das ist ziemlich cool
19248,its pretty dark,es ist ziemlich dunkel
19249,its pretty good,es ist ziemlich gut
19250,its pretty hard,das ist ziemlich schwer
19251,its pretty late,es ist ziemlich spät
19252,its pretty ugly,es ist ganz schön hässlich
19253,its pretty ugly,sie ist ganz schön hässlich
19254,its pretty ugly,er ist ganz schön hässlich
19255,its pure chance,das ist bloßer zufall
19256,its quite large,es ist ziemlich groß
19257,its rainy today,heute ist es regnerisch
19258,its rather cold,es ist ziemlich kalt
19259,its really cold,es ist sehr kalt
19260,its really cool,es ist sehr kühl
19261,its really easy,das ist sehr einfach
19262,its really easy,das ist wirklich einfach
19263,its really good,das ist wirklich gut
19264,its really hard,das ist sehr schwierig
19265,its really loud,es ist sehr laut
19266,its really nice,es ist wirklich schön
19267,its regrettable,das ist bedauerlich
19268,its snowing now,es schneit gerade
19269,its so exciting,es ist so aufregend
19270,its so hopeless,es ist so hoffnungslos
19271,its so unlikely,es ist so unwahrscheinlich
19272,its still alive,es lebt noch
19273,its still early,es ist noch früh
19274,its sunny today,heute ist es sonnig
19275,its supper time,es ist zeit für das abendessen
19276,its that simple,so einfach ist das
19277,its their fault,es ist deren schuld
19278,its their right,es ist ihr recht
19279,its transparent,es ist transparent
19280,its unnecessary,das ist unnötig
19281,its very bitter,es ist sehr bitter
19282,its very boring,das ist sehr langweilig
19283,its very bright,es ist sehr hell
19284,its very sticky,es ist sehr klebrig
19285,its very sticky,es ist sehr schwül
19286,its very sticky,es ist sehr stickig
19287,its what i like,das ist was ich mag
19288,its what i like,das ist mein privatvergnügen
19289,its what i want,das ist es was ich will
19290,its what i want,es ist das was ich will
19291,its what i want,ich will das so
19292,its windy today,es ist windig heute
19293,its windy today,heute ist es windig
19294,its worth a try,einen versuch ist es wert
19295,its worth a try,es ist einen versuch wert
19296,its worth a try,das ist einen versuch wert
19297,japan is in asia,japan liegt in asien
19298,just be yourself,sei einfach du selbst
19299,just be yourself,seid einfach ihr selbst
19300,just be yourself,seien sie einfach sie selbst
19301,just call me tom,nenn mich einfach tom
19302,just call me tom,nenne mich einfach tom
19303,just do as i say,mach einfach was ich sage
19304,just do as i say,macht einfach was ich sage
19305,just do as i say,machen sie einfach was ich sage
19306,just do your job,verrichte einfach deine arbeit
19307,just follow them,folge ihnen einfach
19308,just follow them,folge ihnen einfach nach
19309,just follow them,folgen sie ihnen einfach
19310,just get to work,mach dich einfach an die arbeit
19311,just get to work,mach dich einfach ans werk
19312,just keep moving,gehe einfach weiter
19313,just keep moving,gehen sie einfach weiter
19314,just look at tom,schau dir nur tom an
19315,keep a cool head,behalte einen kühlen kopf
19316,keep me informed,halte mich auf dem laufenden
19317,keep me informed,haltet mich auf dem laufenden
19318,keep the dog out,lass den hund draußen
19319,keep the dog out,lass den hund nicht rein
19320,keep the dog out,lasst den hund nicht rein
19321,keep the dog out,lassen sie den hund nicht rein
19322,keep to the left,halte dich links
19323,leave everything,lassen sie alles zurück
19324,leave that alone,lass das in ruhe
19325,leave that alone,lassen sie das in ruhe
19326,leave that there,lass das da
19327,leave that to me,überlasse das mir
19328,leave that to me,überlassen sie das mir
19329,leave them alone,lass die in frieden
19330,leave them alone,lass die in ruhe
19331,leave this to me,überlass das mir
19332,leave this to me,überlasst das ruhig mir
19333,leave this to me,lassen sie mich nur machen
19334,let tom carry it,lass es tom tragen
19335,let tom carry it,lassen sie es tom tragen
19336,let tom carry it,lasst es tom tragen
19337,let go of my arm,lass meinen arm los
19338,let go of my arm,lasst meinen arm los
19339,let go of my arm,lassen sie meinen arm los
19340,let go of my arm,lass meinen arm los
19341,let me do my job,lass mich meine arbeit verrichten
19342,let me do my job,lassen sie mich meine arbeit verrichten
19343,let me handle it,lass mich das regeln
19344,let me handle it,lassen sie mich das regeln
19345,let me help too,lass mich auch helfen
19346,let me repair it,lasst mich es reparieren
19347,let me repair it,lassen sie mich es reparieren
19348,let me stay here,lass mich hierbleiben
19349,let me try again,lass es mich erneut versuchen
19350,let me try again,lasst es mich erneut versuchen
19351,let me try again,lassen sie es mich erneut versuchen
19352,let them come in,lass sie reinkommen
19353,lets be friends,lass uns freunde sein
19354,lets be serious,bleiben wir mal ernsthaft
19355,lets cross here,lasst uns hier rübergehen
19356,lets discuss it,reden wir drüber
19357,lets do our job,lass uns unsere arbeit verrichten
19358,lets fly a kite,lassen wir einen drachen steigen
19359,lets follow tom,lass uns tom folgen
19360,lets follow tom,komm folgen wir tom
19361,lets get inside,gehen wir hinein
19362,lets get inside,lass uns hineingehen
19363,lets get moving,setzen wir uns in bewegung
19364,lets go by taxi,lass uns mit dem taxi fahren
19365,lets go by taxi,fahren wir mit dem taxi
19366,lets go dancing,lasst uns tanzen gehen
19367,lets go outside,gehen wir raus
19368,lets go see tom,lass uns tom besuchen
19369,lets go see tom,besuchen wir tom
19370,lets have a try,lasst uns das versuchen
19371,lets have lunch,essen wir zu mittag
19372,lets have sushi,lass uns sushi essen
19373,lets keep quiet,wir sollten uns ruhig verhalten
19374,lets play cards,lasst uns karten spielen
19375,lets play cards,lass uns karten spielen
19376,lets play chess,spielen wir schach
19377,lets play house,lasst uns „vater mutter kind“ spielen
19378,lets play poker,lass uns poker spielen
19379,lets play poker,spielen wir poker
19380,lets play poker,lasst uns poker spielen
19381,lets skip lunch,lassen wir das mittagessen aus
19382,lets start here,lass uns hier anfangen
19383,lets start here,lasst uns hier anfangen
19384,lets start here,lassen sie uns hier anfangen
19385,lets start here,fangen wir hier an
19386,lets take a bus,komm wir fahren mit dem bus
19387,lie on the couch,legen sie sich auf die liege
19388,life is precious,das leben ist kostbar
19389,light the candle,steck die kerze an
19390,light the candle,zünde die kerze an
19391,listen carefully,hör gut zu
19392,listen carefully,höre aufmerksam zu
19393,listen to me ok,hör mir zu okay
19394,look at it again,schau es dir nochmal an
19395,look at that cat,seht euch die katze an
19396,look at that dog,schau diesen hund an
19397,look at that man,schaut euch diesen mann an
19398,look at that one,sieh dir dieses an
19399,look at the moon,schau mal der mond
19400,look at this one,schau dir dieses an
19401,look for another,sucht einen anderen
19402,look out for tom,schau nach tom
19403,look what i made,schau was ich gemacht habe
19404,look whos there,schau wer dort ist
19405,loosen the screw,lockere die schraube
19406,love is immortal,liebe ist unsterblich
19407,lower your voice,senke deine stimme
19408,lower your voice,senken sie ihre stimme
19409,lower your voice,sprecht leiser
19410,mail this letter,sende diesen brief
19411,make way please,zur seite bitte
19412,make way please,machen sie bitte platz
19413,make way please,macht bitte platz
19414,make way please,mach bitte platz
19415,make your choice,triff deine wahl
19416,many people died,viele menschen starben
19417,many people hunt,viele leute jagen
19418,many people left,viele leute sind weggegangen
19419,mars is a planet,der mars ist ein planet
19420,mary is a beauty,maria ist eine schönheit
19421,mary is a mother,maria ist mutter
19422,mary is a tomboy,maria ist ein wildfang
19423,mary is charming,mary ist bezaubernd
19424,mary is graceful,maria ist elegant
19425,mary is my niece,maria ist meine nichte
19426,mary is pregnant,mary ist schwanger
19427,mary slapped tom,mary verpasste tom eine ohrfeige
19428,mary slapped tom,mary hat tom eine ohrfeige verpasst
19429,mary slapped tom,mary ohrfeigte tom
19430,mary i love you,maria ich liebe dich
19431,may i call later,darf ich nachher anrufen
19432,may i come again,darf ich wiederkommen
19433,may i open a can,darf ich eine dose öffnen
19434,may i open a can,darf ich eine dose aufmachen
19435,may i smoke here,darf ich hier rauchen
19436,may i study here,darf ich hier lernen
19437,may i touch this,darf ich das mal anfassen
19438,may we swim here,dürfen wir hier schwimmen
19439,maybe i can help,vielleicht kann ich helfen
19440,maybe it was tom,vielleicht war das tom
19441,maybe it was you,vielleicht warst du das
19442,maybe itll snow,vielleicht schneit es
19443,my back is stiff,ich habe einen steifen rücken
19444,my brain is full,mein kopf ist voll
19445,my car is german,mein auto ist ein deutsches auto
19446,my car is german,ich habe ein deutsches auto
19447,my car is german,ich habe einen deutschen wagen
19448,my cat is hungry,meine katze ist hungrig
19449,my cat is hungry,meine katze hat hunger
19450,my child is sick,mein kind ist krank
19451,my cup was empty,meine tasse war leer
19452,my dog has fleas,mein hund hat flöhe
19453,my dog likes you,mein hund mag dich
19454,my dog likes you,mein hund mag euch
19455,my dog likes you,mein hund mag sie
19456,my eyes are blue,meine augen sind blau
19457,my eyes are sore,meine augen schmerzen
19458,my eyes are sore,meine augen sind entzündet
19459,my eyes are sore,mir tun die augen weh
19460,my face twitches,mein gesicht zuckt
19461,my father is out,mein vater ist nicht zuhause
19462,my father smokes,mein vater raucht
19463,my feet are cold,mir ist kalt an den füßen
19464,my feet are numb,mir sind die füße eingeschlafen
19465,my glass is full,mein glas ist voll
19466,my goldfish died,mein goldfisch ist gestorben
19467,my hair is curly,ich habe lockiges haar
19468,my hair is curly,ich habe lockige haare
19469,my house is tiny,mein haus ist winzig
19470,my inbox is full,mein posteingang ist voll
19471,my inbox is full,mein briefkasten ist voll
19472,my job is boring,ich habe eine langweilige arbeit
19473,my legs are sore,mir tun die beine weh
19474,my mother is out,meine mutter ist draußen
19475,my mother is out,meine mutter ist nicht zuhause
19476,my mouth was dry,mein mund war trocken
19477,my nose is itchy,mir juckt die nase
19478,my nose is itchy,meine nase juckt
19479,my pants are wet,meine unterhose ist nass
19480,my pencil is red,mein stift ist rot
19481,my place is here,ich gehöre hierher
19482,my pulse is fast,mein puls ist schnell
19483,my pulse is slow,mein puls ist langsam
19484,my pulse is weak,mein puls ist schwach
19485,my shoes got wet,meine schuhe sind nass geworden
19486,my socks are wet,meine socken sind nass
19487,my stomach hurts,ich habe bauchschmerzen
19488,my stomach hurts,mein bauch schmerzt
19489,my stomach hurts,ich habe magenschmerzen
19490,my stomach hurts,mein bauch tut mir weh
19491,my tie is orange,meine krawatte ist orange
19492,my time has come,meine zeit ist gekommen
19493,my toy is broken,mein spielzeug ist zerbrochen
19494,my toy is broken,mein spielzeug ist kaputt
19495,my train is late,mein zug hat verspätung
19496,my uncle is rich,mein onkel ist reich
19497,my wallets gone,mein portemonnaie ist verschwunden
19498,my wallets gone,mein geldbeutel ist verschwunden
19499,my wife beats me,meine frau schlägt mich
19500,neither was true,keines von beiden war wahr
19501,never tell a lie,lüge niemals
19502,never tell a lie,lügen sie niemals
19503,never tell a lie,lügt nie
19504,nice to meet you,schön sie kennenzulernen
19505,no one asked you,dich hat keiner gefragt
19506,no one asked you,keiner hat dich gefragt
19507,no one came here,es kam niemand her
19508,no one disagreed,keiner hat widersprochen
19509,no one helped me,niemand hat mir geholfen
19510,no one helped me,niemand half mir
19511,no one is coming,niemand kommt
19512,no one is coming,es kommt keiner
19513,no one knew that,niemand wusste das
